url,nama,perguruan_tinggi,program_studi,bidang,sinta_score_overall,sinta_score_3yr,affil_score_overall,affil_score_3yr
https://sinta.kemdiktisaintek.go.id/authors/profile/6767995,ASRIL JARIN,Badan Riset dan Inovasi Nasional,Unknown,"AI, Speech and Text Processing, Machine Learning, Software Engineering, IT Management",415,233,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6724366,MAMLUATUL HANI'AH,Politeknik Negeri Malang,D4 - Teknik Informatika,"Data Science, Machine Learning, Information Retrieval, Artificial Intelligence",769,493,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6014407,DANANG LELONO,Universitas Gadjah Mada,S2 - Magister Ilmu Komputer,"Sensors, Artificial Inteligence, instrumentation and control, electronic nose, electronic tongue",995,415,995,415
https://sinta.kemdiktisaintek.go.id/authors/profile/6729285,RUSTAM,Universitas Telkom,S1 - Teknik Telekomunikasi,"Applied Mathematics, Fuzzy Intelligence System, Machine Learning, Artificial Intelligence",616,293,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/141927,ARY BUDI WARSITO,Universitas Matana,S1 - Teknik Informatika,"Database, Web Programming, Mobile Programming, ML, AI",101,22,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6885678,ILHAM SALEH,STMIK Bina Mulia,S1 - Teknik Informatika,"Information Technology, Computer, Science, Artificial Intelegent, Data Analys",4,4,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6008669,RIKI TENGGARA,Universitas Katolik Indonesia Atma Jaya,Profesi - Profesi Dokter,"Gastroenterology, Hepatology, Artificial intelligence",68,29,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6942924,BELLA WAHMILYANA ASRIL,Institut Teknologi Del,Unknown,"Computer Vision, Machine Learning, Artificial Intelligence",42,36,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6804211,HERY HERAWAN,Universitas Gunadarma,S1 - Informatika,"Computer Vision, Image Processing, Artifical Intelligence, Machine Learning",18,2,18,2
https://sinta.kemdiktisaintek.go.id/authors/profile/6070946,ARIEF FATCHUL HUDA,Universitas Islam Negeri Sunan Gunung Djati,S1 - Matematika,"Kecerdasan Buatan, Data Mining, Text Mining, Image Processing, Spatio Temporal Analysis",870,117,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/260336,NI'AM TAMAMI,Politeknik Elektronika Negeri Surabaya,D3 - Teknik Elektronika,"Artificial Intelligence, Control System, Robotics, Autopilot",610,202,610,202
