url,nama,perguruan_tinggi,program_studi,bidang,sinta_score_overall,sinta_score_3yr,affil_score_overall,affil_score_3yr
https://sinta.kemdiktisaintek.go.id/authors/profile/6661035,ERNA ZUMROTUN,Universitas Islam Nahdlatul Ulama Jepara,S1 - Pendidikan Guru Sekolah Dasar,Primary Education,2.330,912,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6725651,MARUDUT BERNADTUA SIMANJUNTAK,Sekolah Tinggi Teologi Indonesia Jakarta,Unknown,"Theology, Applied Linguistics, Language Education, English Language, Literacy",1.902,1.174,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/5974892,SPITS WARNARS HARCO L H,Universitas Bina Nusantara,S3 - Ilmu Komputer,"Information Systems, Data Mining, Big Data, Intelligent Application, Pattern Recognition",6.331,951,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/5997115,ARIF RAHMAN HAKIM,Politeknik Negeri Malang,D4 - Teknologi Kimia Industri,Pendidikan Matematika,1.990,898,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6037459,ARI SULISTYO RINI,Universitas Riau,S1 - Fisika,photocatalyst,1.959,966,1.956,966
https://sinta.kemdiktisaintek.go.id/authors/profile/6023085,ALOYSIUS ADYA PRAMUDITA,Universitas Telkom,S3 - Teknik Elektro,"Electromagnetic, Antenna, Radar, Telecommunication",3.292,1.136,90,0
https://sinta.kemdiktisaintek.go.id/authors/profile/5998805,NAUFAL ISHARTONO,Universitas Muhammadiyah Surakarta,S1 - Pendidikan Matematika,"Research and Development, Mathematics Learning Media, Geometry Learning, Flipped Learning, TPACK",2.028,1.049,2.645,1.510
https://sinta.kemdiktisaintek.go.id/authors/profile/257332,MUTHIA ELMA,Universitas Lambung Mangkurat,S3 - Ilmu Lingkungan,"Membrane Technology, Inorganic Membranes, organa-silica membranes, Wetland saline water, Coal Bed Methane",7.811,1.771,7.811,1.771
https://sinta.kemdiktisaintek.go.id/authors/profile/6749584,AHMAD FUDHOLI,Badan Riset dan Inovasi Nasional,Unknown,"Applied Physics, Renewable Energy Technology, Solar Energy Engineering",9.610,1.277,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6009230,NASMI HERLINA SARI,Universitas Mataram,S1 - Teknik Mesin,"Natural Fiber, Polymer and Composites, Acoustics and Vibration, Mechanical Properties",2.749,907,2.749,907
https://sinta.kemdiktisaintek.go.id/authors/profile/220844,CUT RAHMAWATI,Universitas Abulyatama,S1 - Teknik Sipil,Teknik Sipil,2.021,1.134,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/5974770,FELYCIA EDI SOETAREDJO,Universitas Katolik Widya Mandala Surabaya,S1 - Teknik Kimia,"Chemical Engineering, Chemical Engineering",7.181,1.219,7.181,1.219
https://sinta.kemdiktisaintek.go.id/authors/profile/5981849,LINA GOZALI,Universitas Tarumanagara,S1 - Teknik Industri,"Business Incubator, Production System, PPIC, Plant Lay Out and Facilities, Product Design",2.997,955,2.997,955
https://sinta.kemdiktisaintek.go.id/authors/profile/6108929,SYAHRUL HUMAIDI,Universitas Sumatera Utara,S3 - Ilmu Fisika,material sciences,2.595,1.143,2.595,1.143
https://sinta.kemdiktisaintek.go.id/authors/profile/6719241,PRISMA MEGANTORO,Universitas Airlangga,S1 - Teknik Elektro,"Renewable Energy Engineering, Metaheuristic Optimization, Reactive Power Dispatch, Embedded System",2.255,953,2.255,953
